Dataset,Train Size,Test Size,Length,No. of Classes,Type
MiddlePhalanxTW,399,154,80,6,IMAGE
MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE
MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE
DistalPhalanxTW,400,139,80,6,IMAGE
DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE
DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE
SonyAIBORobotSurface1,20,601,70,2,SENSOR
SonyAIBORobotSurface2,27,953,65,2,SENSOR
ERing,30,270,65,6,HAR
FaceDetection,5890,3524,62,2,EEG
SyntheticControl,300,300,60,6,SIMULATED
SharePriceIncrease,965,965,60,2,FINANCIAL
NATOPS,180,180,51,6,HAR
FingerMovements,316,100,50,2,EEG
Crop,7200,16800,46,24,IMAGE
Libras,180,180,45,15,HAR
LSST,2459,2466,36,14,OTHER
RacketSports,151,152,30,4,HAR
InsectWingbeat,30000,20000,30,10,AUDIO
JapaneseVowels,270,370,29,9,AUDIO
MelbournePedestrian,1194,2439,24,10,TRAFFIC
ItalyPowerDemand,67,1029,24,2,SENSOR
Chinatown,20,345,24,2,Traffic
Tiselac,81714,17973,23,9,IMAGE
SmoothSubspace,150,150,15,3,SIMULATED
PenDigits,7494,3498,8,10,MOTION
ShakeGestureWiimoteZ,50,50,0,10,SENSOR
PLAID,537,537,0,11,DEVICE
PickupGestureWiimoteZ,50,50,0,10,SENSOR
GesturePebbleZ2,146,158,0,6,MOTION
GesturePebbleZ1,132,172,0,6,MOTION
AsphaltRegularityCoordinates,751,751,0,2,MOTION
AsphaltRegularity,751,751,0,2,MOTION
AsphaltPavementTypeCoordinates,1055,1056,0,3,MOTION
AsphaltPavementType,1055,1056,0,3,MOTION
AsphaltObstaclesCoordinates,390,391,0,4,MOTION
AsphaltObstacles,390,391,0,4,MOTION
AllGestureWiimoteZ,300,700,0,10,MOTION
AllGestureWiimoteY,300,700,0,10,MOTION
AllGestureWiimoteX,300,700,0,10,MOTION
